Compare,x,#,f,o,r,t,i,m,e,u,k,y,l,g,s,a,n,d,b,h,p,:,_,v,j,c,w,/,.,[,],-,(,),",",!,"""","=""=""",^,?,<,q,{,},+,1,3,z,2,*,9,;,&,5,6,0,4,@,>,8,`,~,%,$,7,|,L,B,T,C,"=""'""",H,O,N, ,M,R,E,J,A,V,S,D,W,G,P,F,Q,Y,I,K
x,,14,22,17,103,86,161,62,136,31,7,139,27,16,68,120,103,62,57,15,25,102,15,6,0,25,54,14,9,0,7,27,20,32,32,21,46,21,14,14,34,12,11,11,7,20,23,6,6,14,0,0,10,0,0,24,6,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,14,,8,0,0,0,31,35,45,0,0,0,32,10,0,488,19,0,38,0,0,481,487,6,0,8,13,109,121,221,196,506,488,500,489,499,519,512,84,519,38,0,131,140,332,288,86,6,168,128,22,147,87,64,41,170,481,59,208,12,205,37,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,22,8,,89,928,1349,105,789,172,30,285,45,237,160,1348,45,2170,162,126,207,71,12,6,91,12,55,141,8,8,0,0,18,54,17,43,14,34,14,8,14,0,6,0,0,0,8,6,6,0,8,0,9,8,0,0,7,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,11,11,11,0,141,0,0,0,0
o,17,0,89,,205,226,2678,112,1517,130,73,161,43,96,157,1517,380,104,713,187,289,73,18,43,9,69,164,0,6,0,0,13,32,0,58,0,34,22,0,7,0,22,0,0,0,6,0,0,6,0,20,15,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
r,103,0,928,205,,694,224,724,915,99,219,163,257,109,651,295,1118,517,993,440,53,0,0,241,30,45,1069,0,0,0,0,0,0,16,151,0,0,6,0,7,0,25,0,0,0,16,0,20,7,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,101,0,8,0,0,0,0,0,0,0,0,0,0,0,0
t,86,0,1349,226,694,,755,1241,683,87,106,206,460,708,4008,266,2597,1227,256,161,213,0,60,98,58,185,2388,0,0,0,0,26,110,31,175,0,82,6,0,7,0,23,12,12,0,6,0,0,6,0,0,16,0,0,0,12,6,27,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,19,0,0,0,0,0,0,11,9,0,0,0,0,0,0
i,161,31,105,2678,224,755,,207,789,482,108,128,203,172,569,2573,292,282,284,186,80,72,16,168,35,60,268,47,15,0,14,90,91,110,132,24,116,66,47,39,0,46,13,13,6,31,9,6,6,24,9,16,10,0,0,20,6,27,0,0,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,20,0
m,62,35,789,112,724,1241,207,,806,39,123,398,364,264,1186,334,1120,641,845,240,241,10,41,206,18,120,779,27,19,0,0,40,21,38,86,18,77,52,27,36,6,24,0,0,0,25,0,6,0,24,0,9,10,0,0,7,0,0,0,0,25,13,0,0,0,0,31,0,0,0,0,0,0,0,0,221,0,11,11,0,0,0,11,0,0,0,0,0,0,0,0
e,136,45,172,1517,915,683,789,806,,230,176,832,346,239,1271,2726,508,937,1256,418,81,97,59,253,27,147,2142,154,38,0,0,142,114,53,138,18,169,92,631,58,0,47,13,13,0,41,9,6,13,24,9,16,10,0,0,20,6,27,0,0,48,13,0,0,0,0,7,11,8,11,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0
u,31,0,30,130,99,87,482,39,230,,23,37,17,18,75,407,80,43,39,33,44,30,8,81,27,9,183,0,0,0,0,6,21,0,12,0,14,6,0,0,0,16,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
