Compare,v,s,#,f,o,r,t,i,m,e,u,a,n,d,l,g,b,h,k,y,p,:,_,j,c,w,/,.,[,-,],"=""=""",),",",x,!,(,"""",^,<,?,q,{,},3,+,1,z,2,*,9,;,&,5,4,0,@,>,8,6,`,%,~,$,7,"=""'""", 
v,,206,0,148,18,246,20,98,241,196,76,227,71,244,30,0,193,74,82,14,0,0,0,26,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
s,206,,0,1212,41,443,3444,41,454,596,0,480,1862,1463,159,466,344,213,95,392,272,23,39,0,213,1536,0,0,0,0,0,0,0,85,45,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,0,0,,0,0,0,0,542,11,31,0,525,0,0,17,0,539,0,0,221,0,525,525,0,0,14,94,81,219,542,188,542,542,525,180,542,525,556,74,45,556,0,131,142,80,329,269,0,155,122,20,103,71,63,525,146,52,207,14,36,205,33,33,45,22,0,0
f,148,1212,0,,13,824,1128,19,109,81,0,13,2013,20,156,91,69,166,274,0,36,0,0,0,29,71,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o,18,41,0,13,,90,73,2325,45,1148,23,880,286,0,0,13,663,128,13,123,209,61,0,0,12,146,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,246,443,0,824,90,,525,105,594,215,62,207,871,279,101,23,899,395,211,81,0,0,0,0,0,888,0,0,0,0,0,0,0,61,101,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t,20,3444,0,1128,73,525,,34,481,362,0,65,2483,806,290,521,88,37,12,84,77,0,24,0,76,2232,0,0,0,52,0,0,0,69,61,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i,98,41,542,19,2325,105,34,,33,340,350,6381,46,22,19,13,818,33,44,236,33,967,1321,26,0,38,96,67,219,1172,201,828,1189,777,180,711,550,897,76,45,1289,0,131,142,80,329,271,0,155,124,20,103,71,63,641,146,36,207,14,36,191,33,33,45,22,0,0
m,241,454,11,109,45,594,481,33,,320,11,219,452,382,316,129,717,147,85,364,170,0,0,41,45,595,11,0,0,11,0,11,11,15,11,11,0,11,11,0,11,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0
e,196,596,31,81,1148,215,362,340,320,,37,1352,299,402,202,95,354,243,132,711,32,0,13,0,31,792,152,19,0,115,0,69,17,11,29,18,0,117,155,0,56,0,0,0,0,0,23,0,0,26,0,0,0,0,0,0,0,0,0,0,47,0,12,0,0,0,0
