Compare,v,s,#,f,o,r,t,i,m,e,u,a,n,d,l,g,b,h,k,y,p,:,_,j,c,w,/,.,[,-,],"=""=""",),",",x,!,(,"""",^,<,?,z,q,{,},3,+,1,2,*,9,;,&,5,4,0,@,>,8,6,`,%,~,|,$,7,"=""'""", 
v,,215,0,155,24,258,23,111,252,196,89,240,71,250,31,0,202,79,86,15,0,0,0,26,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
s,215,,0,1317,41,462,3685,41,468,626,0,492,1995,1541,180,490,361,229,116,404,299,23,39,0,222,1580,0,0,0,0,0,0,0,108,49,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,0,0,,0,0,0,0,628,11,32,0,610,0,0,18,0,624,0,0,228,0,610,610,0,0,14,96,88,229,628,197,628,628,610,186,628,582,642,75,45,642,0,0,141,148,84,341,284,164,127,21,103,83,66,610,157,52,211,17,37,207,33,34,14,45,22,0,0
f,155,1317,0,,13,879,1227,19,116,82,0,13,2211,31,160,96,72,171,284,0,40,0,0,0,32,76,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o,24,41,0,13,,95,75,2524,48,1211,36,957,298,0,11,13,708,147,13,133,222,64,0,0,14,154,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,258,462,0,879,95,,560,107,628,228,63,208,928,299,102,25,936,416,221,84,0,0,0,0,0,918,0,0,0,0,0,0,0,63,105,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t,23,3685,0,1227,75,560,,35,518,394,0,67,2646,864,318,571,92,39,13,92,78,0,24,0,76,2399,0,0,0,52,0,0,0,71,63,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i,111,41,628,19,2524,107,35,,33,376,363,6854,47,22,19,13,821,34,44,244,34,1063,1414,26,0,39,97,74,229,1267,211,871,1261,845,186,753,601,956,76,45,1366,0,11,141,148,84,341,285,164,128,21,103,83,66,642,157,36,211,17,37,193,33,34,14,45,22,0,0
m,252,468,11,116,48,628,518,33,,331,11,219,481,411,336,131,763,156,91,381,191,0,0,41,48,636,11,0,0,11,0,11,11,16,11,11,0,11,11,0,11,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0
e,196,626,32,82,1211,228,394,376,331,,52,1390,305,420,204,98,356,253,144,753,32,0,13,0,33,795,152,20,0,115,0,81,18,11,29,19,0,126,155,0,59,0,11,0,0,0,0,35,0,26,0,0,0,0,0,0,0,0,0,0,48,0,12,0,0,0,0,0
u,89,0,0,0,36,63,0,363,11,52,,299,0,21,0,0,0,0,0,26,0,18,0,26,0,91,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
a,240,492,610,13,957,208,67,6854,219,1390,299,,15,535,51,60,1002,344,69,240,32,1159,1428,26,0,1248,78,74,229,1248,212,852,1210,824,252,734,602,916,57,45,1347,0,11,141,148,84,341,280,164,109,21,103,83,66,642,157,36,211,17,37,178,33,22,14,45,22,0,0
n,71,1995,0,2211,298,928,2646,47,481,305,0,15,,533,624,438,61,498,228,414,13,0,0,0,56,434,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d,250,1541,0,31,0,299,864,22,411,420,21,535,533,,372,547,182,173,308,255,95,39,24,47,49,911,37,0,0,0,0,0,23,0,25,0,20,15,0,51,0,81,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,31,180,18,160,11,102,318,19,336,204,0,51,624,372,,502,154,157,0,41,123,0,0,0,56,230,152,0,0,115,0,81,18,0,0,19,0,52,331,0,30,41,0,0,0,0,0,35,0,26,0,0,0,0,0,0,0,0,0,0,15,0,12,0,0,0,0,0
g,0,490,0,96,13,25,571,13,131,98,0,60,438,547,502,,95,56,329,26,79,0,22,0,68,150,0,0,0,41,0,0,0,0,0,0,20,15,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,202,361,624,72,708,936,92,821,763,356,0,1002,61,182,154,95,,244,79,255,312,785,799,27,79,1343,92,74,229,840,197,799,799,796,186,748,602,799,71,45,799,0,0,141,148,84,341,294,164,123,21,103,83,66,642,157,11,211,17,37,192,33,34,14,45,22,0,0
h,79,229,0,171,147,416,39,34,156,253,0,344,498,173,157,56,244,,361,15,38,27,15,0,32,675,0,0,0,0,0,0,0,0,0,0,69,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k,86,116,0,284,13,221,13,44,91,144,0,69,228,308,0,329,79,361,,0,29,27,0,0,0,113,0,0,0,0,0,0,22,48,0,0,0,22,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y,15,404,228,0,133,84,92,244,381,753,26,240,414,255,41,26,255,15,0,,64,228,228,30,0,249,78,74,228,228,197,228,228,243,298,228,240,228,57,45,228,0,0,141,148,84,228,228,164,109,21,103,83,66,228,157,11,211,17,37,178,33,22,14,45,22,0,0
p,0,299,0,40,222,0,78,34,191,32,0,32,13,95,123,79,312,38,29,64,,0,0,0,76,51,18,0,0,0,0,0,18,0,21,0,16,14,0,18,0,0,11,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,23,610,0,64,0,0,1063,0,0,18,1159,0,39,0,0,785,27,27,228,0,,1049,0,0,39,115,74,229,1049,233,852,1120,862,277,757,625,973,57,115,1072,0,0,141,148,84,341,266,164,109,21,103,83,66,642,157,11,211,17,37,178,33,22,14,45,22,0,0
_,0,39,610,0,0,0,24,1414,0,13,0,1428,0,24,0,22,799,15,0,228,0,1049,,0,24,41,78,74,229,1262,197,852,1195,809,186,734,634,916,57,45,1347,0,0,141,148,84,355,280,164,109,21,103,83,66,642,157,11,211,17,37,178,33,22,14,45,22,0,0
j,26,0,0,0,0,0,0,26,41,0,26,26,0,47,0,0,27,0,0,30,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
c,0,222,0,32,14,0,76,0,48,33,0,0,56,49,56,68,79,32,0,0,76,0,24,0,,380,0,0,0,23,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
w,231,1580,14,76,154,918,2399,39,636,795,91,1248,434,911,230,150,1343,675,113,249,51,39,41,0,380,,0,20,0,0,0,0,0,31,0,0,40,77,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
/,0,0,96,0,0,0,0,97,11,152,0,78,0,37,152,0,92,0,0,78,18,115,78,0,0,0,,74,78,193,78,159,119,78,78,97,78,130,209,82,108,0,0,78,78,115,78,113,78,104,21,78,78,66,78,78,11,78,17,37,93,33,34,14,45,22,0,0
.,0,0,88,0,0,0,0,74,0,20,0,74,0,0,0,0,74,0,0,74,0,74,74,0,0,20,74,,74,74,74,74,74,74,74,74,74,94,57,45,94,0,0,74,74,74,74,74,74,74,21,74,74,66,74,74,11,74,17,37,94,33,22,14,45,22,0,0
[,0,0,229,0,0,0,0,229,0,0,0,229,0,0,0,0,229,0,0,228,0,229,229,0,0,0,78,74,,229,197,229,229,229,186,229,229,276,57,45,229,0,0,141,148,84,229,229,164,109,21,103,83,66,229,157,11,211,17,37,178,33,22,14,45,22,0,0
-,0,0,628,0,0,0,52,1267,11,115,0,1248,0,0,115,41,840,0,0,228,0,1049,1262,0,23,0,193,74,229,,197,933,1213,809,186,753,582,953,172,45,1278,0,0,141,148,294,356,694,500,135,21,103,83,192,810,157,11,211,38,121,193,33,34,14,45,85,0,0
],0,0,197,0,0,0,0,211,0,0,0,212,0,0,0,0,197,0,0,197,0,233,197,0,0,0,78,74,197,197,,197,243,244,186,197,197,244,57,45,197,0,0,141,148,84,197,197,164,109,21,103,83,66,197,157,11,197,17,37,178,33,22,14,45,22,0,0
"=""=""",0,0,628,0,0,0,0,871,11,81,0,852,0,0,81,0,799,0,0,228,0,852,852,0,0,0,159,74,229,933,197,,883,809,186,766,582,917,138,45,882,0,0,141,148,84,372,318,164,135,21,103,83,66,642,157,11,211,17,37,193,33,34,14,45,22,0,0
),0,0,628,0,0,0,0,1261,11,18,0,1210,0,23,18,0,799,0,22,228,18,1120,1195,0,0,0,119,74,229,1213,243,883,,895,186,771,622,1069,75,68,1243,0,0,165,163,107,341,284,164,127,21,103,83,66,642,175,11,211,17,37,193,33,34,14,45,22,0,0
",",0,108,610,0,0,63,71,845,16,11,0,824,35,0,0,0,796,0,48,243,0,862,809,0,0,31,78,74,229,809,244,809,895,,186,734,582,896,57,45,809,0,0,141,172,84,341,266,164,109,21,103,83,66,642,157,11,211,17,37,178,33,22,14,45,22,0,0
x,0,49,186,0,0,105,63,186,11,29,18,252,0,25,0,0,186,0,0,298,21,277,186,0,0,0,78,74,186,186,186,186,186,186,,186,186,186,57,80,186,0,0,141,148,84,186,186,164,109,21,103,83,66,186,157,11,186,17,37,178,33,22,14,45,22,0,0
!,0,0,628,0,0,0,0,753,11,19,0,734,0,0,19,0,748,0,0,228,0,757,734,0,0,0,97,74,229,753,197,766,771,734,186,,624,795,76,45,795,0,0,141,148,100,354,285,164,128,21,103,83,66,642,157,11,211,17,37,193,33,34,14,45,22,0,0
