Compare,x,v,s,#,f,o,r,t,i,m,e,u,k,y,l,g,n,c,a,d,b,h,p,"=""'""",j,w,2,0,3,-,z,"""",^,<,q,1,*,9,;,4,5,6,>,8,%,7,~,¬,…,️
x,,36,267,527,29,47,300,390,679,117,291,76,19,704,75,33,256,46,705,154,555,54,160,518,0,97,588,552,586,508,98,508,116,290,7,582,508,216,511,533,479,292,508,215,106,247,61,37,10,0
v,36,,378,0,502,88,545,192,238,289,183,177,327,80,286,58,359,149,258,348,183,125,101,8,117,196,56,36,52,0,11,8,0,0,10,56,0,41,0,32,35,32,0,36,14,23,0,0,0,0
s,267,378,,9,3483,335,1636,10650,443,1833,1150,248,401,1276,1080,1729,9005,1170,985,5081,835,1036,1209,15,84,2658,49,23,9,11,25,0,0,11,34,50,9,9,69,17,14,6,6,10,7,6,0,17,6,0
#,527,0,9,,13,16,0,0,909,38,104,0,0,379,52,0,7,9,885,3,887,3,8,866,0,106,898,897,625,869,94,866,152,244,0,916,866,203,866,871,454,256,866,201,99,229,63,37,10,0
f,29,502,3483,13,,343,2918,3406,114,822,202,42,909,179,747,539,6369,312,77,385,387,633,351,0,63,448,23,10,7,15,10,0,10,0,20,10,0,5,0,10,4,5,5,0,4,4,10,0,0,0
o,47,88,335,16,343,,639,368,7388,278,3862,732,46,629,102,128,1319,172,3624,223,1686,278,837,3,16,576,14,8,24,3,4,0,3,0,15,17,0,27,0,0,6,3,3,6,7,0,0,0,0,0
r,300,545,1636,0,2918,639,,2034,364,949,832,402,429,296,1165,258,3459,390,633,1548,584,1102,438,3,97,526,22,11,21,0,36,0,0,5,15,31,0,0,0,0,10,0,5,0,0,0,0,0,0,0
t,390,192,10650,0,3406,368,2034,,397,2214,1287,69,302,484,1223,1695,9058,790,280,3397,718,485,703,58,160,6498,16,0,17,45,101,0,0,6,28,9,0,5,18,20,19,5,11,9,0,9,0,9,0,0
i,679,238,443,909,114,7388,364,397,,249,1572,1312,93,496,156,247,512,182,16282,467,1289,241,242,2380,104,367,916,941,694,6939,108,5620,144,247,44,1519,6445,203,1580,965,471,259,917,204,113,229,63,37,10,0
m,117,289,1833,38,822,278,949,2214,249,,789,96,493,1203,1151,556,1643,702,405,1652,3245,1236,1343,0,287,2728,37,22,48,15,82,0,14,6,22,23,0,11,0,16,14,8,11,3,11,4,13,9,0,0
e,291,183,1150,104,202,3862,832,1287,1572,789,,547,467,3442,481,365,586,517,3218,1080,657,917,510,17,49,1379,83,54,75,6,32,3,164,14,35,215,8,25,3,31,30,20,14,17,19,16,16,12,3,0
u,76,177,248,0,42,732,402,69,1312,96,547,,14,60,47,28,74,38,1317,130,47,71,103,8,90,239,10,0,6,0,7,0,0,5,6,8,0,4,0,5,3,3,8,3,11,0,0,0,0,0
k,19,327,401,0,909,46,429,302,93,493,467,14,,47,375,675,523,89,173,1076,195,642,299,0,32,357,10,0,0,8,56,0,0,0,4,12,0,0,0,0,10,0,5,0,0,0,0,0,0,0
y,704,80,1276,379,179,629,296,484,496,1203,3442,60,47,,220,229,1350,109,520,861,534,183,397,379,26,509,408,395,404,379,94,379,108,250,4,409,379,211,382,394,400,261,384,215,99,235,50,44,10,0
l,75,286,1080,52,747,102,1165,1223,156,1151,481,47,375,220,,1614,1514,440,364,1484,773,659,1103,12,86,728,45,14,10,11,161,0,45,6,7,53,0,5,0,11,8,8,6,3,7,4,13,14,0,0
g,33,58,1729,0,539,128,258,1695,247,556,365,28,675,229,1614,,2018,536,183,1663,535,275,349,19,87,516,6,15,7,21,40,0,0,6,39,14,7,13,0,9,4,10,3,16,16,7,0,9,0,0
n,256,359,9005,7,6369,1319,3459,9058,512,1643,586,74,523,1350,1514,2018,,647,187,2126,353,1066,590,0,62,997,20,7,20,0,39,0,7,0,26,10,0,5,0,16,4,5,6,0,3,4,7,0,0,0
c,46,149,1170,9,312,172,390,790,182,702,517,38,89,109,440,536,647,,226,483,422,446,475,0,102,1154,20,10,14,18,8,0,0,6,7,21,0,3,0,13,11,7,11,9,12,44,0,9,0,0
a,705,258,985,885,77,3624,633,280,16282,405,3218,1317,173,520,364,183,187,226,,1066,1553,1087,349,2397,109,2214,913,935,712,6954,111,5620,115,260,32,1498,6445,212,1580,964,473,270,923,204,113,234,60,54,10,0
d,154,348,5081,3,385,223,1548,3397,467,1652,1080,130,1076,861,1484,1663,2126,483,1066,,482,643,664,19,140,1861,73,66,82,0,192,10,3,30,63,69,3,38,21,54,51,62,6,34,10,39,0,17,0,0
b,555,183,835,887,387,1686,584,718,1289,3245,657,47,195,534,773,535,353,422,1553,482,,1440,972,1137,124,3587,889,940,661,1164,141,1137,122,244,11,1162,1137,211,1137,970,464,262,912,209,106,235,63,45,10,0
h,54,125,1036,3,633,278,1102,485,241,1236,917,71,642,183,659,275,1066,446,1087,643,1440,,371,0,32,2778,17,0,10,0,38,0,0,6,11,3,0,9,0,11,8,0,9,0,7,0,0,9,0,0
p,160,101,1209,8,351,837,438,703,242,1343,510,103,299,397,1103,349,590,475,349,664,972,371,,5,81,531,28,18,29,0,129,0,8,16,30,21,5,15,5,19,19,15,14,9,9,14,8,9,0,0
"=""'""",518,8,15,866,0,3,3,58,2380,0,17,8,0,379,12,19,0,0,2397,19,1137,0,5,,0,0,929,1031,676,2377,94,2397,105,244,0,1542,2507,368,1593,1035,568,331,906,369,126,352,50,37,10,0
j,0,117,84,0,63,16,97,160,104,287,49,90,32,26,86,87,62,102,109,140,124,32,81,0,,115,0,0,0,15,3,0,0,6,7,3,0,0,0,5,0,3,5,3,7,0,0,9,0,0
w,97,196,2658,106,448,576,526,6498,367,2728,1379,239,357,509,728,516,997,1154,2214,1861,3587,2778,531,0,115,,52,38,54,0,30,0,102,9,16,118,0,23,0,19,12,11,6,3,14,7,13,17,0,0
2,588,56,49,898,23,14,22,16,916,37,83,10,10,408,45,6,20,20,913,73,889,17,28,929,0,52,,1271,1331,1023,94,873,137,303,0,2066,889,492,884,1519,992,607,863,496,127,552,63,37,10,0
0,552,36,23,897,10,8,11,0,941,22,54,0,0,395,14,15,7,10,935,66,940,0,18,1031,0,38,1271,,914,918,94,928,119,255,0,1567,990,520,947,1229,847,540,906,491,151,513,63,37,10,0
3,586,52,9,625,7,24,21,17,694,48,75,6,0,404,10,7,20,14,712,82,661,10,29,676,0,54,1331,914,,718,94,625,112,251,0,1300,655,505,646,1284,1036,638,630,493,124,638,57,37,10,0
-,508,0,11,869,15,3,0,45,6939,15,6,0,8,379,11,21,0,18,6954,0,1164,0,0,2377,15,0,1023,918,718,,94,5620,105,244,0,1640,6445,198,1580,1029,510,291,906,211,99,255,50,37,10,0
z,98,11,25,94,10,4,36,101,108,82,32,7,56,94,161,40,39,8,111,192,141,38,129,94,3,30,94,94,94,94,,94,94,94,3,94,94,94,94,94,94,94,94,94,98,94,50,37,10,0
"""",508,8,0,866,0,0,0,0,5620,0,3,0,0,379,0,0,0,0,5620,10,1137,0,0,2397,0,0,873,928,625,5620,94,,105,244,0,1470,5620,208,1580,959,460,261,906,211,102,235,50,37,10,0
^,116,0,0,152,10,3,0,0,144,14,164,0,0,108,45,0,7,0,115,3,122,0,8,105,0,102,137,119,112,105,94,105,,105,0,249,105,110,105,110,109,110,105,105,99,109,63,37,10,0
<,290,0,11,244,0,0,5,6,247,6,14,5,0,250,6,6,0,6,260,30,244,6,16,244,6,9,303,255,251,244,94,244,105,,4,319,244,198,244,250,251,266,244,201,99,229,50,43,10,0
q,7,10,34,0,20,15,15,28,44,22,35,6,4,4,7,39,26,7,32,63,11,11,30,0,7,16,0,0,0,0,3,0,0,4,,0,0,0,0,0,7,0,0,0,3,0,0,4,0,0
1,582,56,50,916,10,17,31,9,1519,23,215,8,12,409,53,14,10,21,1498,69,1162,3,21,1542,3,118,2066,1567,1300,1640,94,1470,249,319,0,,1489,495,1489,1495,987,626,906,506,130,560,63,37,10,0
*,508,0,9,866,0,0,0,0,6445,0,8,0,0,379,0,7,0,0,6445,3,1137,0,5,2507,0,0,889,990,655,6445,94,5620,105,244,0,1489,,413,1590,1016,516,346,906,291,115,435,50,37,10,0
9,216,41,9,203,5,27,0,5,203,11,25,4,0,211,5,13,5,3,212,38,211,9,15,368,0,23,492,520,505,198,94,208,110,198,0,495,413,,215,651,680,590,198,669,127,710,55,37,10,0
;,511,0,69,866,0,0,0,18,1580,0,3,0,0,382,0,0,0,0,1580,21,1137,0,5,1593,0,0,884,947,646,1580,94,1580,105,244,0,1489,1590,215,,973,479,272,906,224,112,248,50,37,10,0
4,533,32,17,871,10,0,0,20,965,16,31,5,0,394,11,9,16,13,964,54,970,11,19,1035,5,19,1519,1229,1284,1029,94,959,110,250,0,1495,1016,651,973,,1128,719,912,566,121,665,55,37,10,0
5,479,35,14,454,4,6,10,19,471,14,30,3,10,400,8,4,4,11,473,51,464,8,19,568,0,12,992,847,1036,510,94,460,109,251,7,987,516,680,479,1128,,848,455,700,123,796,54,37,10,0
6,292,32,6,256,5,3,0,5,259,8,20,3,0,261,8,10,5,7,270,62,262,0,15,331,3,11,607,540,638,291,94,261,110,266,0,626,346,590,272,719,848,,251,606,124,747,55,37,10,0
